CODIGO_AERONAVE,DATA_VALIDADE,OPERADOR,CNPJ,TIPO_USO,FABRICANTE,MODELO,NUMERO_SERIE,PESO_MAXIMO_DECOLAGEM_KG,RAMO_ATIVIDADE,VENCIDO
PP-060292021,2023-09-28,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,0M6CHBLR0A2P9Q,0.91,Aerofotografia,VENCIDO
PP-927031985,2023-09-22,VALE S.A.,33.592.510/0401-05,Básico,DJI,Inspire 2,48507/SDPPI/20165388,3.9,Aerofotografia,VENCIDO
PP-000046493,2023-09-20,Salobo Metais,33.931.478/0003-56,Básico,DJI,Phantom 4 Pro,11USJ4SR710359,6.0,Mineração,VENCIDO
PP-999459077,2023-09-14,VALE S/A,33.592.510/0154-29,Básico,DJI,Phantom 4,0V2DG4N0A30006,1.5,Fiscalização de operações portuárias - TMPM - São Luís/MA,VENCIDO
PP-197900008,2023-09-12,VALE S.A.,33.592.510/0426-63,Básico,DJI,Phantom 4 Pro,CMIIT 2016AP6301,2.0,Aeroinspeção,VENCIDO
PP-001009975,2023-09-08,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic,298CGABR0A05BP,0.9,Segurança Privada,VENCIDO
PP-001009976,2023-09-08,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic,2019ap0008,0.9,segurança privada,VENCIDO
PP-001009972,2023-09-08,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic,SS3-LIZE1807,0.9,Aeroinspeção,VENCIDO
PP-001007158,2023-09-08,VALE S.A.,33.592.510/0037-65,Básico,DJI,Phantom 4 Pro,0V2VG4M0A30144,2.0,Aerofotografia,VENCIDO
PP-001009973,2023-09-08,VALE S.A.,33.592.510/0021-06,Básico,DJI,Mavic,ss3-l1ze1807,0.903,Segurança Patrimonial,VENCIDO
PP-163606021,2023-09-01,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,163CGC6R0A6BCX,0.907,Aeroinspeção,VENCIDO
PP-163052021,2023-09-01,VALE S.A.,33.592.510/0009-01,Básico,DJI,Mavic,163CGBTR0A5ZRZ,0.907,Aeroinspeção,VENCIDO
PP-158751294,2023-09-01,VALE S.A.,33.592.510/0009-01,Básico,Sense Fly,Ebee - X,IX-12-89180,1.1,Levantamento  aéreo em mineração.,VENCIDO
PP-024301610,2023-08-22,VALE S.A.,33.592.510/0009-01,Básico,DJI,Phantom 4 Pro,0V2DH4HRA30161,1.38,Aerolevantamento e fotogrametria em área de mineração.,VENCIDO
PP-202107081,2023-08-11,Salobo Metais,33.931.478/0003-56,Básico,DJI,Phantom 4 Pro,OV2SH7BRA30260,1.38,Imagem aérea e fotogrametria em aérea de mineração,VENCIDO
PP-001544388,2023-08-09,VALE S.A.,33.592.510/0001-54,Básico,DJI,Phantom 4,07DJBDH0C10242,2.0,Aerolevantamento - Aerofotogrametria,VENCIDO
PP-997890898,2023-08-09,VALE S.A.,33.592.510/0447-98,Básico,DJI,Phantom 4 Pro,OV2CFAXOA30397,1.0,Aerofotografia,VENCIDO
PP-101101101,2023-08-03,VALE S.A.,33.592.510/0370-74,Básico,DJI,Mavic,276CH6GR0A0AWJ,1.1,Aerofotografia,VENCIDO
PP-000319100,2023-07-21,VALE S.A.,33.592.510/0037-65,Básico,DJI,PHANTOM 4 RTK,0V2SH6NRA30111,2.0,Aerofotografia,VENCIDO
PP-993191081,2023-07-21,VALE S.A.,33.592.510/0037-65,Básico,DJI,Mavic 2 Pro,163CGC9R0A6EM0,1.0,Aerofotografia,VENCIDO
PP-933275051,2023-07-13,VALE S.A.,33.592.510/0370-74,Básico,DJI,Phantom 4 Pro,WM331S1801,1.388,Aeroinspeção,VENCIDO
PP-202129012,2023-06-29,VALE S.A.,33.592.510/0049-07,Básico,PARROT,ANAFI WORK,PS72800BA8H071827,0.045,Obtenção de foto imagem ,VENCIDO
PP-202108410,2023-06-25,VALE S.A.,33.592.510/0021-06,Básico,PARROT,ANAFI WORK,PS728000BA8G53026,0.45,Aerofotografia,VENCIDO
PP-202100222,2023-06-25,VALE S.A.,33.592.510/0021-06,Básico,DJI,MATRICE 210 V2,17TBHB4R01004U,6.14,Aerofotografia,VENCIDO
PP-202100111,2023-06-25,VALE S.A.,33.592.510/0021-06,Básico,DJI,MAVIC 2 ENTERPRISE ZOOM,276CHSDR0A0DV0,1.1,Aerofotografia,VENCIDO
